Identifier	Character	Dialogue	Filename	Line Number	Ren'Py Script
w0_d1_DoorDashTip_60c5b353	u	"What?! No tip? In this economy! Are you kidding me?!"	game/scripts/before_orientation/before_orientation_choices/w0_d1_DoorDash.rpy	35	u "[what]"
w0_d1_DoorDashTip_0c18fad0	u	{i}*in a serious tone*{/i} "You have no idea how much trouble I went through to get you your stupid Chipotle..."	game/scripts/before_orientation/before_orientation_choices/w0_d1_DoorDash.rpy	36	u "[what]"
w0_d1_DoorDashTip_5bcd4a3d	mc	"You took eight years to get me my food, which is already cold."	game/scripts/before_orientation/before_orientation_choices/w0_d1_DoorDash.rpy	37	mc "[what]"
w0_d1_DoorDashTip_3659efec	mc	"Get lost, you’re lucky I’m even paying for this food at all."	game/scripts/before_orientation/before_orientation_choices/w0_d1_DoorDash.rpy	38	mc "[what]"
w0_d1_DoorDashTip_66c969f7	mc	{i}*Slams the door*{/i}	game/scripts/before_orientation/before_orientation_choices/w0_d1_DoorDash.rpy	39	mc "[what]"
w0_d1_DoorDashTip_00c1ec14	mc	{i}*Looks inside the chipotle bag*{/i}	game/scripts/before_orientation/before_orientation_choices/w0_d1_DoorDash.rpy	41	mc "[what]"
w0_d1_DoorDashTip_37e85b1d	mc	{i}*Shocked and angry*{/i} WHERE ARE MY CHIPS AND QUESO????	game/scripts/before_orientation/before_orientation_choices/w0_d1_DoorDash.rpy	42	mc "[what]"
w0_d1_RoomService_5519479e	mc	I know, I’ll get room service.	game/scripts/before_orientation/before_orientation_choices/w0_d1_RoomService.rpy	2	mc "[what]"
w0_d1_RoomService_8f349039	mc	Nothing beats having fresh food delivered, without the pain of cleaning up afterwards.	game/scripts/before_orientation/before_orientation_choices/w0_d1_RoomService.rpy	3	mc "[what]"
w0_d1_RoomService_32f63587	mc	{i}*Looks at the menu*{/i}	game/scripts/before_orientation/before_orientation_choices/w0_d1_RoomService.rpy	4	mc "[what]"
w0_d1_RoomServiceOrder_72b933b5	mc	I don’t even know what I want, there are so many options...	game/scripts/before_orientation/before_orientation_choices/w0_d1_RoomService.rpy	7	mc "[what]" nointeract
w0_d1_RoomServiceOrder_fede0b22	mc	Yeah, I HAVE to get [food_item]. You can’t go wrong with that.	game/scripts/before_orientation/before_orientation_choices/w0_d1_RoomService.rpy	21	mc "[what]"
w0_d1_RoomServiceOrder_eced8a67		{i}*5 minutes pass*{/i}	game/scripts/before_orientation/before_orientation_choices/w0_d1_RoomService.rpy	24	"[what]"
w0_d1_RoomServiceOrder_f1b0d37b	mc	I hope this doesn’t take too long, I’m getting pretty hungry here.	game/scripts/before_orientation/before_orientation_choices/w0_d1_RoomService.rpy	25	mc "[what]"
w0_d1_RoomServiceOrder_d67324ca		{i}*You hear a knock on the door*{/i}	game/scripts/before_orientation/before_orientation_choices/w0_d1_RoomService.rpy	26	"[what]"
w0_d1_RoomServiceOrder_8ad3dc77	mc	Oh, thank god.	game/scripts/before_orientation/before_orientation_choices/w0_d1_RoomService.rpy	27	mc "[what]"
w0_d1_RoomServiceOrder_7aaf7cf5		{i}*Opens door*{/i}	game/scripts/before_orientation/before_orientation_choices/w0_d1_RoomService.rpy	28	"[what]"
w0_d1_RoomServiceOrder_6bf1d474	mc	"Thanks man, that was fast!"	game/scripts/before_orientation/before_orientation_choices/w0_d1_RoomService.rpy	29	mc "[what]"
w0_d1_VendingMachine_ab2df801	mc	I think I’ll go downstairs to the vending machine, I could really go for a Snickers and Doritos right now.	game/scripts/before_orientation/before_orientation_choices/w0_d1_VendingMachine.rpy	2	mc "[what]"
w0_d1_VendingMachine_7ffeff10	mc	And, I will save some money. You never know when you’ll need it.	game/scripts/before_orientation/before_orientation_choices/w0_d1_VendingMachine.rpy	3	mc "[what]"
w0_d1_VendingMachine_392f607c	mc	I am pretty hungry though, maybe I should eat something more to fuel my body and mind.	game/scripts/before_orientation/before_orientation_choices/w0_d1_VendingMachine.rpy	4	mc "[what]"
w0_d1_VendingMachine_0707c91e		{i}*You walk downstairs to find a vending machine*{/i}	game/scripts/before_orientation/before_orientation_choices/w0_d1_VendingMachine.rpy	8	"[what]"
w0_d1_VendingMachine_30c0b660		{i}*On your way to the vending machines you see someone*{/i}	game/scripts/before_orientation/before_orientation_choices/w0_d1_VendingMachine.rpy	9	"[what]"
w0_d1_VendingMachine_63657246	r	"Hey there! I’m Rust! Do you go to UB?"	game/scripts/before_orientation/before_orientation_choices/w0_d1_VendingMachine.rpy	12	r "[what]"
w0_d1_Rust_a94f226f	mc	"Yeah, I do, my name is [mc]."	game/scripts/before_orientation/before_orientation_choices/w0_d1_VendingMachine.rpy	18	mc "[what]"
w0_d1_Rust_677e17ef	r	"Cool cool. What’s your major?"	game/scripts/before_orientation/before_orientation_choices/w0_d1_VendingMachine.rpy	19	r "[what]"
w0_d1_Rust_fbe22ebe	mc	"Wouldn’t you like to know..."	game/scripts/before_orientation/before_orientation_choices/w0_d1_VendingMachine.rpy	20	mc "[what]"
w0_d1_Rust_8944f9c7	r	{i}*hushed*{/i} "Damn, I was just wondering."	game/scripts/before_orientation/before_orientation_choices/w0_d1_VendingMachine.rpy	28	r "[what]"
w0_d1_Rust_6f7e275e	r	"I’m computer engineering, in case you wanted to know my major."	game/scripts/before_orientation/before_orientation_choices/w0_d1_VendingMachine.rpy	33	r "[what]"
w0_d1_Rust_1c52a678	mc	"Oh thanks, I didn't."	game/scripts/before_orientation/before_orientation_choices/w0_d1_VendingMachine.rpy	34	mc "[what]"
w0_d1_Rust_dd6ccb93	r	"Jeez... you don’t have to be mean about it, man."	game/scripts/before_orientation/before_orientation_choices/w0_d1_VendingMachine.rpy	35	r "[what]"
w0_d1_Rust_1bdf17ed	mc	"Whatever."	game/scripts/before_orientation/before_orientation_choices/w0_d1_VendingMachine.rpy	36	mc "[what]"
w0_d1_Rust_fe0e38ce		{i}*Rust leaves*{/i}	game/scripts/before_orientation/before_orientation_choices/w0_d1_VendingMachine.rpy	38	"[what]"
w0_d1_Rust_a84f1eec	mc	"Yeah I do, my name is [mc]. What’s your major?"	game/scripts/before_orientation/before_orientation_choices/w0_d1_VendingMachine.rpy	41	mc "[what]"
w0_d1_Rust_5a899762	r	{i}*Smiles*{/i} "I’m computer engineering. What about you?"	game/scripts/before_orientation/before_orientation_choices/w0_d1_VendingMachine.rpy	42	r "[what]"
w0_d1_Rust_8ac19f7e	mc	"Oh, I’m in computer science!"	game/scripts/before_orientation/before_orientation_choices/w0_d1_VendingMachine.rpy	43	mc "[what]"
w0_d1_Rust_fa4bf5c8	mc	"We both need to take Programming 1, right?"	game/scripts/before_orientation/before_orientation_choices/w0_d1_VendingMachine.rpy	44	mc "[what]"
w0_d1_Rust_38005830	mc	"Are you going to be doing it this semester?"	game/scripts/before_orientation/before_orientation_choices/w0_d1_VendingMachine.rpy	45	mc "[what]"
w0_d1_Rust_01b6d498	r	"Yes, that's what I am planning on doing."	game/scripts/before_orientation/before_orientation_choices/w0_d1_VendingMachine.rpy	46	r "[what]"
w0_d1_Rust_a16c7278	r	"I have some programming experience from highschool, but I’m excited to learn more."	game/scripts/before_orientation/before_orientation_choices/w0_d1_VendingMachine.rpy	47	r "[what]"
w0_d1_Rust_8c578f53	r	"We can definitely work on projects and study together! It’ll be pretty cool."	game/scripts/before_orientation/before_orientation_choices/w0_d1_VendingMachine.rpy	48	r "[what]"
w0_d1_Rust_bd03a19d	mc	"Absolutely! We’ll probably be spending a lot of time together."	game/scripts/before_orientation/before_orientation_choices/w0_d1_VendingMachine.rpy	49	mc "[what]"
w0_d1_Rust_962c8ca5	r	"Yeah, I’m excited to get to know you better."	game/scripts/before_orientation/before_orientation_choices/w0_d1_VendingMachine.rpy	50	r "[what]"
w0_d1_Rust_b960b2b5	r	"Well anyway, I have to get back to my room so I can get a good night's sleep."	game/scripts/before_orientation/before_orientation_choices/w0_d1_VendingMachine.rpy	51	r "[what]"
w0_d1_Rust_3dc25c4d	r	"You should probably do the same."	game/scripts/before_orientation/before_orientation_choices/w0_d1_VendingMachine.rpy	52	r "[what]"
w0_d1_Rust_1e193266	r	"It was nice to meet you, see you in class!"	game/scripts/before_orientation/before_orientation_choices/w0_d1_VendingMachine.rpy	53	r "[what]"
w0_d1_Rust_fe0e38ce_1		{i}*Rust leaves*{/i}	game/scripts/before_orientation/before_orientation_choices/w0_d1_VendingMachine.rpy	55	"[what]"
w0_d1_Rust_512feadf		{i}*You stand at the vending machine, thinking about what you want*{/i}	game/scripts/before_orientation/before_orientation_choices/w0_d1_VendingMachine.rpy	57	"[what]"
w0_d1_Rust_11effc3b	mc	Hmm, they don’t have Doritos, I guess I’m only getting a Snickers tonight.	game/scripts/before_orientation/before_orientation_choices/w0_d1_VendingMachine.rpy	59	mc "[what]"
w0_d1_Rust_d06eee75		{i}*You get a snickers bar and heads back up to your room*{/i}	game/scripts/before_orientation/before_orientation_choices/w0_d1_VendingMachine.rpy	60	"[what]"
42780794		show bg lecturehall with fade	game/scripts/demo_code/demo.rpy	3	"[what]"
137af51d		# TODO: Add audio of class room noises	game/scripts/demo_code/demo.rpy	3	"[what]"
350c7a0f		"Professor" "Today, we are presenting the project every group has been working on for the past month."	game/scripts/demo_code/demo.rpy	3	"[what]"
cbb5abed		"Professor" "First we have [mc]'s group."	game/scripts/demo_code/demo.rpy	3	"[what]"
c91f5086		"Professor" "Come up to the front to present."	game/scripts/demo_code/demo.rpy	3	"[what]"
3ac3491c		# Switch to cpp have her fade in or something	game/scripts/demo_code/demo.rpy	3	"[what]"
ed333e76		# TODO: Replace character with cpp show sylvie blue normal	game/scripts/demo_code/demo.rpy	3	"[what]"
a651a546		c "Hey [mc], you finished the project right?"	game/scripts/demo_code/demo.rpy	3	"[what]"
16f0c448		c "This is like 25 percent of our grade!"	game/scripts/demo_code/demo.rpy	3	"[what]"
51a71336		"[mc]" "Yeah for sure"	game/scripts/demo_code/demo.rpy	3	"[what]"
b67f5d56		"[mc]" "*yawns*"	game/scripts/demo_code/demo.rpy	3	"[what]"
f1469a3c		"[mc]" "I even spent two hours debugging the whole thing."	game/scripts/demo_code/demo.rpy	3	"[what]"
f3e9f9f5		"[mc]" "You don't have to worry about anything."	game/scripts/demo_code/demo.rpy	3	"[what]"
23476e4a		hide sylvie	game/scripts/demo_code/demo.rpy	3	"[what]"
97e011fb		# Show disgusted look from python	game/scripts/demo_code/demo.rpy	3	"[what]"
002d468f		show bg black with fade	game/scripts/demo_code/demo.rpy	3	"[what]"
4e8b3e46		"You recall the events last night..."	game/scripts/demo_code/demo.rpy	3	"[what]"
9264ce9b		show bg lecturehall	game/scripts/demo_code/demo.rpy	3	"[what]"
76ea9954		"[mc]" "Alright, time to edit this code."	game/scripts/demo_code/demo.rpy	3	"[what]"
b6f0c646		"[mc]" "All I have to do is create these mines."	game/scripts/demo_code/demo.rpy	3	"[what]"
baead808		# TODO: Add details about the minesweeper project	game/scripts/demo_code/demo.rpy	3	"[what]"
69ef2279		show mine_sweeper	game/scripts/demo_code/demo.rpy	3	"[what]"
d97a6042		menu: "Which line should I change?"	game/scripts/demo_code/demo.rpy	3	"[what]"
bf509db1		"Line 1.": "You choose line 1" "Line 2": "You choose line 2"	game/scripts/demo_code/demo.rpy	3	"[what]"
7bdf5bd7		hide screen code_editor	game/scripts/demo_code/demo.rpy	3	"[what]"
42780794_1		show bg lecturehall with fade	game/scripts/demo_code/demo.rpy	3	"[what]"
511942a5		"[p]" "... And when you start the game, you want to unconver all the squares."	game/scripts/demo_code/demo.rpy	3	"[what]"
ea8a2617		"[p]" "Like this ..."	game/scripts/demo_code/demo.rpy	3	"[what]"
2369e052		"[p]" "Uhhhh, not like that."	game/scripts/demo_code/demo.rpy	3	"[what]"
854db5f7		"[p]" "Let me try that again."	game/scripts/demo_code/demo.rpy	3	"[what]"
95db2370		"[p]" "No, No, no don't do that"	game/scripts/demo_code/demo.rpy	3	"[what]"
e86f8998		"Python looks concered"	game/scripts/demo_code/demo.rpy	3	"[what]"
c21b4467		# Show concern from python	game/scripts/demo_code/demo.rpy	3	"[what]"
04c802d2		"[p]" "Sorry guys, I don't know why this is happening..."	game/scripts/demo_code/demo.rpy	3	"[what]"
5c5e3dc1		# Show cpp	game/scripts/demo_code/demo.rpy	3	"[what]"
1edf5c12		"[c]" "Ugh. Let me do it."	game/scripts/demo_code/demo.rpy	3	"[what]"
7942ce56		"C++ takes the computer and clicks again."	game/scripts/demo_code/demo.rpy	3	"[what]"
5c1be4b7		"The program throws the same issue."	game/scripts/demo_code/demo.rpy	3	"[what]"
535f14de		"C++ tries again."	game/scripts/demo_code/demo.rpy	3	"[what]"
7a834861		"[c]" "This can't be happening!"	game/scripts/demo_code/demo.rpy	3	"[what]"
9091f43f		"[c]" "Is every square a bomb!?"	game/scripts/demo_code/demo.rpy	3	"[what]"
aeba725c		"C++ and Python stare at you, sending a shiver down your spine."	game/scripts/demo_code/demo.rpy	3	"[what]"
80b30b97		# Show Java concerned "[j]" "I think [mc] wrote the code to display the bombs..."	game/scripts/demo_code/demo.rpy	3	"[what]"
a2a1841a		"[j]" "But I'm sure he did a great job!"	game/scripts/demo_code/demo.rpy	3	"[what]"
e3ccffd6		# Switch back to cpp who is mad. Add tense music	game/scripts/demo_code/demo.rpy	3	"[what]"
a3e2804b		"[c]" "[mc], I though you said you spent all night debugging this code?"	game/scripts/demo_code/demo.rpy	3	"[what]"
5abe652f		"[c]" "You said it was working!!!"	game/scripts/demo_code/demo.rpy	3	"[what]"
56bf4687		"[mc] is really worried now"	game/scripts/demo_code/demo.rpy	3	"[what]"
6ff106c5		# Switch back to cpp. She is mad.	game/scripts/demo_code/demo.rpy	3	"[what]"
a231f1ee		"[c]" "I knew I shouldn't have let you come over last night!"	game/scripts/demo_code/demo.rpy	3	"[what]"
66505870		"[c]" "You worthless, good for nothing, mac-using, assembly coding by preference, internshipless, no comment making, no whitespace-using loser!!"	game/scripts/demo_code/demo.rpy	3	"[what]"
0bb5b02a		"Python looks disappointed."	game/scripts/demo_code/demo.rpy	3	"[what]"
c63049af		"[p]" "[mc], you went to her house last night?"	game/scripts/demo_code/demo.rpy	3	"[what]"
c8a9cf37		"[p]" "Right after you left my house??"	game/scripts/demo_code/demo.rpy	3	"[what]"
756c7391		"[p]" "That is not cool!"	game/scripts/demo_code/demo.rpy	3	"[what]"
8181c3ce		"[p]" "I can't believe you would do this!"	game/scripts/demo_code/demo.rpy	3	"[what]"
d03116f4		"Java steps in to defend you."	game/scripts/demo_code/demo.rpy	3	"[what]"
c03c0c86		"[j]" "I'm sure [mc] didn't mean any harm!"	game/scripts/demo_code/demo.rpy	3	"[what]"
5393555b		# Camera switches to C++	game/scripts/demo_code/demo.rpy	3	"[what]"
821453cf		"[p]" "Yea!"	game/scripts/demo_code/demo.rpy	3	"[what]"
ba423328		"[p]" "Like what were you guys even doing there??"	game/scripts/demo_code/demo.rpy	3	"[what]"
e86aedd3		"You open your mouth hesitantly."	game/scripts/demo_code/demo.rpy	3	"[what]"
e2fc72a1		"[mc]" "Uhhhh... paired programming?"	game/scripts/demo_code/demo.rpy	3	"[what]"
ddd2d2b8		# Fades to black and intro ends and title "Bytes of Love" shows	game/scripts/demo_code/demo.rpy	3	"[what]"
0dec093e		"[mc]" "Welp, I definitely messed up the project for the group, I wonder if I should call someone to apologize."	game/scripts/demo_code/demo.rpy	3	"[what]"
e3d68b2d		menu:	game/scripts/demo_code/demo.rpy	3	"[what]"
c110f660		"Java": jump java	game/scripts/demo_code/demo.rpy	3	"[what]"
5bb3f1cb		# Add more menu options	game/scripts/demo_code/demo.rpy	3	"[what]"
583ab285		label java:	game/scripts/demo_code/demo.rpy	3	"[what]"
d53be3d1		"You decide to call Java."	game/scripts/demo_code/demo.rpy	3	"[what]"
a52e1e0b		"[mc]" "Hey Java."	game/scripts/demo_code/demo.rpy	3	"[what]"
5e1d15b2		"[mc]" "I'm sorry about yesterday, I-"	game/scripts/demo_code/demo.rpy	3	"[what]"
7d42ab15		"[j]" "It's okay my little meatball, I understand."	game/scripts/demo_code/demo.rpy	3	"[what]"
3d30cee6		"[j]" "It actually kind of reminded me of my kid!"	game/scripts/demo_code/demo.rpy	3	"[what]"
df38de3d		screen code_editor: add "images/mine_sweeper.png" xpos 500 ypos 500	game/scripts/demo_code/demo.rpy	3	"[what]"
w0_d2_LunchApology_04e0876f	p	"Hey JavaScript!"	game/scripts/orientation/w0_d2 choices/w0_d2_LunchApology.rpy	2	p "[what]"
w0_d2_LunchApology_6e1c7b91	p	"Is it okay if we join you?"	game/scripts/orientation/w0_d2 choices/w0_d2_LunchApology.rpy	3	p "[what]"
w0_d2_LunchApology_2de4973b	js	"Yeah, sure!"	game/scripts/orientation/w0_d2 choices/w0_d2_LunchApology.rpy	4	js "[what]"
w0_d2_LunchApology_e7906b69	mc	"Lunch was good, I am glad that we got to eat some good food."	game/scripts/orientation/w0_d2 choices/w0_d2_LunchApology.rpy	8	mc "[what]"
w0_d2_LunchApologyC_4cae5a9d	mc	"Hey guys, about what happened on the campus tour..."	game/scripts/orientation/w0_d2 choices/w0_d2_LunchApology.rpy	11	mc "[what]" nointeract
w0_d2_LunchApologyC_ae152286	mc	"I just want to apologize one more time for what happened."	game/scripts/orientation/w0_d2 choices/w0_d2_LunchApology.rpy	17	mc "[what]"
w0_d2_LunchApologyC_b523bff7	mc	"I think that we could all be good friends."	game/scripts/orientation/w0_d2 choices/w0_d2_LunchApology.rpy	18	mc "[what]"
w0_d2_LunchApologyC_e4f71e2d	mc	"And I am excited to get to know you guys better in the future."	game/scripts/orientation/w0_d2 choices/w0_d2_LunchApology.rpy	19	mc "[what]"
w0_d2_LunchApologyC_044a69ae	mc	"..."	game/scripts/orientation/w0_d2 choices/w0_d2_LunchApology.rpy	24	mc "[what]"
w0_d2_LunchApologyC_eefa2f6d	mc	"Huh, I totally forgot what I was about to say."	game/scripts/orientation/w0_d2 choices/w0_d2_LunchApology.rpy	25	mc "[what]"
w0_d2_LunchFlirtDecision_6d5da448	js	"I totally agree, [mc]!"	game/scripts/orientation/w0_d2 choices/w0_d2_LunchApology.rpy	33	js "[what]"
w0_d2_LunchFlirtDecision_147bfaf9	js	"I think we can be good friends as well."	game/scripts/orientation/w0_d2 choices/w0_d2_LunchApology.rpy	34	js "[what]"
w0_d2_LunchFlirtDecision_884df3d6	p	"Yeah, and it’s so good that we are all computer science majors."	game/scripts/orientation/w0_d2 choices/w0_d2_LunchApology.rpy	35	p "[what]"
w0_d2_LunchFlirtDecision_33f35c77	p	"Hopefully we will have a lot of classes together."	game/scripts/orientation/w0_d2 choices/w0_d2_LunchApology.rpy	36	p "[what]"
w0_d2_LunchFlirtC_a3eccc95	mc	"Especially you Python."	game/scripts/orientation/w0_d2 choices/w0_d2_LunchFlirt.rpy	5	mc "[what]"
w0_d2_LunchFlirtC_013f3335	mc	{i}Winks{/i}	game/scripts/orientation/w0_d2 choices/w0_d2_LunchFlirt.rpy	6	mc "[what]"
w0_d2_LunchFlirtC_f786af1e	p	"Wow, way to ruin an apology."	game/scripts/orientation/w0_d2 choices/w0_d2_LunchFlirt.rpy	7	p "[what]"
w0_d2_LunchFlirtC_9392f73c	p	"I expected nothing less."	game/scripts/orientation/w0_d2 choices/w0_d2_LunchFlirt.rpy	8	p "[what]"
w0_d2_LunchFlirtC_0b5b28a9	c	"Typical man..."	game/scripts/orientation/w0_d2 choices/w0_d2_LunchFlirt.rpy	9	c "[what]"
w0_d2_LunchFlirtC_c45aaa40	mc	"Especially you C++."	game/scripts/orientation/w0_d2 choices/w0_d2_LunchFlirt.rpy	12	mc "[what]"
w0_d2_LunchFlirtC_013f3335_1	mc	{i}Winks{/i}	game/scripts/orientation/w0_d2 choices/w0_d2_LunchFlirt.rpy	13	mc "[what]"
w0_d2_LunchFlirtC_5ccaf908	c	"Wow, way to ruin an apology."	game/scripts/orientation/w0_d2 choices/w0_d2_LunchFlirt.rpy	14	c "[what]"
w0_d2_LunchFlirtC_b701c947	c	"I expected nothing less."	game/scripts/orientation/w0_d2 choices/w0_d2_LunchFlirt.rpy	15	c "[what]"
